18071970418012NHP|2018-07-19 23:29:12.0|300496991782,
18071989869312NHP|2018-07-19 22:35:56.0|300499053575,
18071920509012NHP|2018-07-19 22:25:53.0|300499046464,
18071913876112NHP|2018-07-19 21:58:20.0|300496991745,
18071912484112NHP|2018-07-19 21:55:07.0|300496991794,
18071973327112NHP|2018-07-19 21:50:04.0|300496991769,
18071912003512NHP|2018-07-19 21:17:34.0|300499046391,
18071981783412NHP|2018-07-19 21:12:24.0|300499007559,
18071919109412NHP|2018-07-19 20:59:28.0|300499053568,
18071922827212NHP|2018-07-19 20:55:09.0|300499506642,
18071905706412NHP|2018-07-19 20:50:50.0|300496998873,
18071944215112NHP|2018-07-19 20:48:42.0|300496991818,
18071947697612NHP|2018-07-19 20:29:08.0|300496943757,
18071978189212NHP|2018-07-19 20:15:12.0|300499506666,
18071988304912NHP|2018-07-19 20:13:24.0|300496974574,
18071993277012NHP|2018-07-19 20:10:09.0|300496974586,
18071956523212NHP|2018-07-19 19:57:03.0|300496974598,
18071953033212NHP|2018-07-19 19:01:23.0|300497616463,
18071927477912NHP|2018-07-19 18:58:31.0|300497592277,
18071922997612NHP|2018-07-19 18:54:57.0|300496974562,
18071961193312NHP|2018-07-19 18:48:11.0|300498997650,
18071925175112NHP|2018-07-19 18:44:33.0|300497673265,
18071998808512NHP|2018-07-19 18:02:36.0|300496974721,
18071940425612NHP|2018-07-19 16:18:51.0|300496998861,
18071973785712NHP|2018-07-19 16:10:52.0|300496974696,
18071928199412NHP|2018-07-19 15:26:44.0|300496974635,
18071919734612NHP|2018-07-19 14:46:28.0|300496974623,
18071972706012NHP|2018-07-19 14:44:49.0|300497592241,
18071914788212NHP|2018-07-19 12:48:26.0|300496974647,
18071905170112NHP|2018-07-19 12:24:21.0|300497639815,
18071937251812NHP|2018-07-19 12:21:06.0|300497639803,
18071961752012NHP|2018-07-19 11:52:32.0|300496974488,
18071949717012NHP|2018-07-19 11:51:26.0|300496980671,
18071949810312NHP|2018-07-19 11:44:18.0|300496974476,
18071918066912NHP|2018-07-19 11:34:02.0|300497616438,
18071932616612NHP|2018-07-19 11:32:31.0|300496974464,
18071977989712NHP|2018-07-19 11:31:51.0|300497592265,
18071974710812NHP|2018-07-19 11:23:30.0|300496974537,
18071908115512NHP|2018-07-19 11:23:06.0|300496980665,
18071982901412NHP|2018-07-19 11:22:11.0|300496974501,
18071954796012NHP|2018-07-19 11:18:05.0|300496980695,
18071971600612NHP|2018-07-19 11:18:02.0|300496980683,
18071964520312NHP|2018-07-19 11:13:16.0|300496974659,
18071925100012NHP|2018-07-19 11:09:17.0|300499506654,
18071950561412NHP|2018-07-19 11:07:08.0|300496974611,
18071964193912NHP|2018-07-19 11:06:18.0|300496974550,
18071905270212NHP|2018-07-19 11:05:03.0|300496974495,
18071912922512NHP|2018-07-19 11:04:00.0|300496974715,
18071968942812NHP|2018-07-19 11:03:03.0|300496974684,
18071989464312NHP|2018-07-19 11:02:09.0|300496974708,
18071974923912NHP|2018-07-19 10:22:14.0|300497083837,
18071961119412NHP|2018-07-19 09:47:56.0|300497601590,
18071905092312NHP|2018-07-19 08:24:44.0|300497569853,
18071903224512NHP|2018-07-19 07:56:51.0|300496997395,
18071923104812NHP|2018-07-19 07:40:37.0|300496958716,
18071926231812NHP|2018-07-19 07:32:26.0|300496980658,
18071937456712NHP|2018-07-19 05:18:39.0|300497601645,
18071965801771NHP|2018-07-19 00:34:46.0|300496252707,
18071913566731NHP|2018-07-19 00:34:46.0|300497534822,
18071948208181NHP|2018-07-19 00:31:35.0|300497540051,
18071931447111NHP|2018-07-19 00:06:33.0|300496248370,
18071950146111NHP|2018-07-19 00:05:34.0|300496248425,
18071943991291NHP|2018-07-19 00:02:41.0|300496246122,
18071918718131NHP|2018-07-19 00:01:44.0|300496230925,
18071953770101NHP|2018-07-19 00:00:52.0|300496230913,
